occasion,時・機会,I’ll keep this wine for a special occasion.,occasion
opportunity,機会,The party was a great opportunity for meeting new people.,opportunity
circumstance,事情・状況,Do not give up under any circumstances.,circumstances
situation,状況・位置,His comments only made the situation worse.,situation
instant,即座の,I often eat instant noodles.,instant
primitive,時代の・原始的な,It’s a primitive from of kanji.,primitive
ancient,古代の,I'm interested in ancient history.,ancient
final,最後の,The final episode will be shown tonight.,final
annual,毎年の,Are you going to the annual summer festival next week?,annual
lately,近頃,I've been really busy lately.,lately
recently,最近,Nick has come back from France recently.,recently
immediately,ただちに,"The phone rang, and he answered it immediately.",immediately
afterward,あとで,"They had dinner, and then afterward they went to a movie.",afterward
smoke,煙,I saw smoke coming from the building.,smoke
gas,気体,You can’t cook by gas in this apartment.,gas
ash,灰,Don’t drop cigarette ashes on the floor.,ashes
dust,ちり・ほこり,The furniture was covered with dust.,dust
,,,
,,,
,,,
whether,かどうか,I don’t know whether she will come or not.,whether
unless,でない限り,Come to my office at one o'clock unless I phone.,unless
except,を除いて,We’re open every day except Monday.,except
besides,のほかに・に加えて,There were several boys besides Mike in the classroom.,besides
beyond,の向こうに・を越えて,My house is beyond the woods.,beyond
within,以内に,The job will be finished within a week.,within
throughout,の間ずっと,The disease spread throughout Europe.,throughout
despite,にもかかわらず,"Despite all our efforts, the event was a failure.",Despite
per,につき,He works 8 hours per day.,per
tool,道具,We use a computer as a tool for communication.,tool
equipment,設備・用具,We need to buy camping equipment.,equipment
instrument,器具・計器,The instruments of the plane were broken.,instruments
switch,スイッチ,The switch is on the side of the lamp.,switch
cell phone,携帯電話,I left my cell phone at home.,cell phone
industry,産業・工業,I want to get a job in the tourist industry.,industry
market,市場,There is a large market near the port.,market
goods,商品,All the goods in this shop are handmade.,goods
service,奉仕・便,There is bus service from the hotel to the airport.,service
cooperation,協力,Thank you for your cooperation.,cooperation
project,計画,His latest project is to build a new theater.,project
benefit,利益・恩恵,The Internet has brought us many benefits.,benefits
loss,失うこと・損失,The company had a loss of two million dollars.,loss
earn,稼ぐ,I need to earn a little more money.,earn
rent,貸し借りする(借りる),It’s very expensive to rent an apartment in New York.,rent
economic,経済の,The government’s economic plan was wrong.,economic
clone,クローン,The scientists made a clone of a mouse.,clone
entertainment,娯楽,Theater is a popular form of entertainment.,entertainment
slave,奴隷,Slaves were a part of Roman society.,Slaves
,,,
,,,
advance,進める,The army continued to advance.,advance
progress,前進する,Have the discussions progressed.,progressed
approach,近づく,I approached the house.,approached
behave,ふるまう,He behaved like a gentleman at the party.,behaved
chase,追いかける,Then a dog started chasing me.,chasing
recover,回復する,I soon recovered from the illness.,recovered
overcome,打ち勝つ,My grandmother overcame many difficulties in her life.,overcame
bake,焼く,Lets bake a cake.,bake
boil,わかす・沸騰する,Water boils at 100℃.,boils
melt,溶かす,The snow was starting to melt.,melt
serve,仕える・出す,This restaurant serves great Mexican food.,serves
feed,えさを与える・えさ,Have you fed the dog?,fed
flavor,味・風味,This coffee has a unique flavor.,flavor
competition,競争,Competition for the job was intense.,Competition
battle,戦闘,The battle lasted about 30minutes.,battle
force,力,Our boss forced us to work on Sunday.,forced
army,軍隊,We met in the army.,army
soldier,兵士,He didn’t want to be a soldier.,soldier
victory,勝利,Everybody celebrated our victory.,victory
victim,犠牲者・被害者,The victim died of head injuries.,victim
defeat,敗北,The party suffered a defeat in the election.,defeat
tank,水槽・タンク・戦車,The fish in the tank were cute.,tank
beg,請う・頼む,I begged him to stay.,begged
remind,思い出させる,You remind me of my sister.,remind
encourage,励ます・奨励する,The community is encouraging recycling.,encouraging
relieve,安心させる,They were relieved to know she was not hurt in the accident.,relieved
fascinate,魅了する,Insects have always fascinated me.,fascinated
,,,
,,,
,,,
flow,流れる,,
float,浮かぶ,,
pour,注ぐ,,
splash,はねかける・飛び散る,,
expect,予期する,,
concern,心配させる,,
hesitate,ためらう,,
disappoint,失望させる,,
regret,後悔する,,
doubt,疑う,,
admire,感心する,,
pray,祈る,,
rely,あてにする・頼る,,
resist,抵抗する,,
politics,政治,,
democracy,民主主義,,
freedom,自由,,
election,選挙,,
official,公の・公式の,,
moral,道徳的な,,
investigation,調査,,
data,資料・データ,,
aspect,面,,
factor,要因,,
analyze,分析する,,
focus,焦点を合わせる,,
concentrate,集中する,,
effect,影響・効果,,
,,,
,,,
consist,から成る・構成される,,
contain,含む・入っている,,
remain,残っている・ままである,,
require,必要とする,,
adopt,採用する,,
select,運ぶ,,
limit,制限する,,
unite,結合させる・合併する,,
connect,つなぐ・接続する,,
ingredient,要素・成分,,
represent,表す,,
indicate,指し示す・示す,,
prove,証明する,,
reveal,明らかにする,,
education,教育,,
experiment,実験,,
laboratory,研究室,,
principle,原理・主義,,
theory,理論・学説,,
statement,声明,,
scholarship,奨学金,,
truly,本当に,,
fully,十分に,,
slightly,わずかに・少しだけ,,
simply,単に・簡単に,,
gradually,だんだんと,,
entire,全体の・全部の,,
extreme,極度の,,
likely,ありそうな,,
,,,
direction,方向・方面,,
period,期間,,
sort,種類,,
variety,多様性・様々な,,
grade,等級・成績,,
rate,割合・率,,
balance,つり合い・バランス,,
image,像・イメージ,,
impression,印象,,
appearance,現れること・見かけ(外観),,
attitude,態度,,
possibility,可能性,,
absolutely,完全に,,
adult,成人・大人,,
kid,子供,,
ancestor,先祖,,
crowd,群衆,,
owner,所有者・持ち主,,
speaker,話す人,,
captain,キャプテン,,
author,著者,,
director,指導者・監督,,
immigrant,移民,,
talent,才能,,
strict,厳しい・厳密な,,
severe,厳しい,,
cruel,残酷な,,
,,,
,,,
,,,
position,位置・地位,,
spot,場所,,
suburb,郊外,,
region,地方,,
apartment,アパート,,
base,土台・基礎,,
locate,場所を示す,,
upstairs,階上へ・２階へ,,
downtown,繁華街へ・中心街,,
frame,骨組み・わく,,
edge,ふち・端,,
surface,表面,,
section,区域,,
elsewhere,どこかほかのところで,,
everywhere,どこでも・いたるところに,,
gun,銃,,
weapon,武器,,
crime,罪・犯罪,,
poison,毒,,
alarm,驚き・警報器,,
shock,衝撃的なこと,,
thief,泥棒・空き巣,,
harm,害,,
risk,危険,,
steal,盗む,,
rob,奪う,,
crash,壊れる・衝突する,,
assure,保証する,,
,,,
,,,
explode,爆発する,,
pollute,汚染する,,
ruin,破壊する・台無しにする,,
arrest,逮捕する,,
grab,つかむ・つかみ取る,,
traffic,交通・交通量,,
transportation,輸送・交通機関,,
avenue,大通り,,
path,小道,,
license,許可・免許証,,
signal,信号機・合図,,
fuel,燃料,,
baggage,手荷物,,
used,中古の・なれる・(以前は)したものだ,,
patient,我慢強い・患者,,
shy,恥ずかしがりの・内気な,,
blind,目の見えない,,
funny,おかしい,,
serious,まじめな・重大な,,
ability,能力,,
capacity,収容力,,
quality,質・品質,,
technique,技術,,
craft,工芸,,
charm,魅力,,
confidence,信頼,,
,,,
,,,
,,,
,,,
advise,忠告する・助言する,,
suggest,提案する,,
recommend,推薦する・勧める,,
reply,返事をする・答える,,
describe,描写する,,
announce,発表する,,
insist,主張する,,
publish,出版する,,
debate,討論・議論,,
association,協会,,
committee,委員会,,
independence,独立・自立,,
duty,義務,,
structure,構造,,
,,,
,,,
,,,
,,,
,,,
the day before yesterday,おととい,,
the day after tomorrow,あさって,,
the other day,先日,,
these days,このごろ,,
in those days,そのころ,,
at that time ,そのころ・当時,,
once upon a time,昔々,,
in the future,将来・未来に,,
of course,もちろん,,
by the way,ところで,,
in fact,実際は,,
for example,例えば,,
and so on,…など,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"as … as one can
as … as possible",できるだけ…,,
… as well,同様に,,
the same … as ~,～と同じ…,,
… such as ~,～のような…,,
such … as to do,～するような…,,
each time …,…するたびに,,
all the time,いつも,,
day after day,毎日毎日,,
day by day,日ごとに,,
every other day,一日おきに,,
over and over again,何度も何度も,,
as usual,いつものように,,
by chance,偶然に,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
call up ~,電話をかける,,
all at …,立ち寄る,,
call on,訪問する,,
call for …,大声を出して求める,,
pull out,引き抜く,,
point out ~,指摘する,,
wear out,"すり減らす
使い古す",,
see off ~,見送る,,
pay attention to …,…に注意を払う,,
pay a visit to …,訪れる,,
catch up with …,追いつく,,
feel sorry for …,…のことを気の毒に思う,,
remind <人> of …,<人>に…を思い出させる,,
owe … to ~,…は～のおかげである,,
take … for granted,…を当然のことと思う,,
,,,
,,,
,,,
,,,
,,,
in front of …,…の前(正面)に,,
in the middle of …,"…の真ん中に
…の最中に",,
at the top of …,…の頂上に,,
at the bottom of …,…の底に,,
next to …,…の隣に,,
out of …,…の中から外に,,
no longer …,もはや…でない,,
not … at all,少しも…ない,,
not always …,いつも…とは限らない,,
anything but …,"決して…ではない
…以外なら何でもする",,
nothing but …,"ただ…だけ
…してばかりいる",,
far from …,…からは程遠い,,
by no means …,決して…ない,,
